google,skill,apple,skill,facebook,skill,linkedin,skill,saleforce,skill
19, Microsoft Office,25, Leadership,13, Management,12, Microsoft Excel,14, Social Media
18, Project Management,24, Customer Service,11, Microsoft Office,11, Leadership,13, Leadership
17, Customer Service,23, Management,10, Microsoft Excel,11, Data Analysis,11, Management
16, Leadership,23, Project Management,9 ,Microsoft PowerPoint,10, Management,11, Project Management
16, Management,22, Microsoft Office,9 ,Social Media,9 ,Project Management,10, Microsoft Office
15, Microsoft Excel,21, Microsoft Excel,9 ,Customer Service,8 ,Research,10, Sales
14, Data Analysis,18, Social Media,8 ,Project Management,8 ,Marketing,10, Salesforce.com
13, SQL,16, Python (Programming Language),8 ,Marketing,8 ,Microsoft Office,10, Customer Service
13, Social Media,16, SQL,8 ,Microsoft Word,7 ,Microsoft PowerPoint,9 ,Marketing
11, Marketing,15, OS X,7 ,Social Media Marketing,7 ,Social Media,9 ,Microsoft PowerPoint
10, Microsoft PowerPoint,15, Product Management,6 ,Adobe Photoshop,6 ,Microsoft Word,8 ,Java
9 ,Event Planning,14, Microsoft PowerPoint,6 ,Business Development,6 ,Customer Service,8 ,Social Media Marketing
8 ,Social Media Marketing,13, Sales,5 ,Customer Relationship Management (CRM),5 ,Marketing Strategy,8 ,Customer Relationship Management (CRM)
8 ,Product Management,13, Teamwork,5 ,Product Management,5 ,SQL,7 ,HTML
7 ,Scrum,11, Event Planning,5 ,Advertising,4 ,Analytical Skills,6 ,Account Management
7 ,Microsoft Excel,3,ublic Speaking,6 ,Management,5 ,Marketing,6,oject Management
7 ,Social Media,2 ,WordPress,5 ,Strategy,4 ,Digital Marketing,5 ,Sales
7 ,Customer Service,2 ,Adobe Photoshop,5 ,Business Development,4 ,Management,4 ,Microsoft Excel
6 ,Leadership,2 ,Troubleshooting,4 ,Cross-functional Team Leadership,3 ,Social Media Marketing,4 ,Marketing
6 ,Microsoft Office,2 ,Microsoft Office,4 ,Social Media Marketing,3 ,Marketing Strategy,4 ,Microsoft PowerPoint
4 ,Management,2 ,Training,4 ,Marketing,3 ,Microsoft PowerPoint,4 ,Microsoft Office
4 ,Project Management,2 ,Technical Support,4 ,Product Management,3 ,Product Marketing,4 ,Social Media
4 ,Data Analysis,2 ,Keynote,3 ,Digital Marketing,2 ,Data Analysis,3 ,User Experience (UX)
4 ,Microsoft PowerPoint,2 ,Customer Service,3 ,Marketing Strategy,2 ,B2B Marketing,3 ,Negotiation
4 ,Event Planning,1 ,AutoCAD,3 ,Microsoft Office,2 ,Digital Strategy,3 ,HTML
2 ,Social Media Marketing,1 ,Strategy,3 ,Customer Relationship Management (CRM),2 ,Google Analytics,3 ,Online Marketing
2 ,Financial Reporting,1 ,Go-to-market Strategy,3 ,Strategic Planning,2 ,Start-ups,3 ,Customer Relationship Management (CRM)
2 ,Time Management,1 ,Leadership,3 ,Social Media,2 ,Social Media,3 ,Salesforce.com
2 ,Marketing,1 ,Agile Methodologies,3 ,Business Strategy,2 ,Content Strategy,3 ,Account Management
2 ,Program Management,1 ,Microsoft Excel,3 ,Customer Service,2 ,Salesforce.com,3 ,Customer Service
