skills,apple,google,facebook,linkedin,salesforce
 Microsoft Office,24,25,14,10,14
 Project Management,23,22,10,11,16
 Customer Service,26,24,5,10,10
 Leadership,25,22,2,12,12
 Management,39,20,12,10,14
 Microsoft Excel,21,22,11,14,4
 Data Analysis,0,18,0,13,0
 SQL,16,13,0,0,0
 Social Media,18,21,28,15,23
 Marketing,0,13,18,19,13
 Microsoft PowerPoint,14,14,9 ,9,14
Event Planning,0,13,9 ,0,0
Social Media Marketing,0,8 ,8 ,14,0
Product Management,0,8 ,6,0,0
Scrum,0,7 ,0,0,0
Financial Reporting,0,2 ,0,0,0
Time Management,0,2 ,0,0,0
Program Management,0,2 ,0,0,0
 Python (Programming Language),16,0,0,0,0
 OS X,15,0,0,0,0
 Product Management,15,0,13,0,0
 Sales,13,8,0,0,16
 Teamwork,13,0,0,0,0
 Event Planning,11,0,0,0,0
ublic Speaking,4,0,0,0,0
WordPress,2 ,0,0,0,0
Adobe Photoshop,2 ,0,0,0,0
Troubleshooting,2 ,0,0,0,0
Training,2 ,0,0,0,0
Technical Support,2 ,0,0,0,0
Keynote,2 ,0,0,0,0
AutoCAD,1 ,0,0,0,0
Strategy,1 ,0,5,0,0
Go-to-market Strategy,1 ,0,0,0,0
Agile Methodologies,1 ,0,0,0,0
Advertising,0,0,5 ,0,0
Business Development,0,0,5 ,0,0
Cross-functional Team Leadership,0,0,4 ,0,0
Digital Marketing,0,0,3 ,5,3
Marketing Strategy,0,0,3 ,8,0
Customer Relationship Management (CRM),0,0,3 ,0,8
Strategic Planning,0,0,3 ,0,0
Business Strategy,0,0,3 ,0,0
Research,0,0,0,10,0
Microsoft Word,0,0,0,8 ,0
SQL,0,0,0,7 ,0
Analytical Skills,0,0,0,6 ,0
Management,0,0,0,4 ,0
Product Marketing,0,0,0,4 ,0
B2B Marketing,0,0,0,3 ,0
Digital Strategy,0,0,0,3 ,0
Google Analytics,0,0,0,3 ,0
Start-ups,0,0,0,3 ,0
Content Strategy,0,0,0,3 ,0
Salesforce.com,0,0,0,3 ,13
Java,0,0,0,0,8 
HTML,0,0,0,0,10
Account Management,0,0,0,0,9
User Experience (UX),0,0,0,0,3 
Negotiation,0,0,0,0,3 
