Eng.count,Engineering,Prog.count,Program and Project Manager,Op.count,Operations,Sal.count,Sales,BusDev.count,Business Development,Mark.count,Marketing,pm.count,ProductManager,Adm.count,Administrative
23, Python(Programming Language),31, ProjectManagement,18, Leadership,18, Leadership,14, SocialMedia,11, MicrosoftExcel,11, Leadership,8 ,MicrosoftOffice
21, AgileMethodologies,25, Management,18, CustomerService,18, MicrosoftOffice,13, Leadership,9 ,Management,11, ProductManagement,8 ,CustomerService
20, Leadership,23, Leadership,17, SocialMedia,17, MicrosoftExcel,13, Management,9 ,Marketing,8 ,ProjectManagement,7 ,Leadership
20, JavaScript,22, MicrosoftOffice,15, Management,17, CustomerService,11, PublicSpeaking,9 ,SocialMedia,7 ,Management,5 ,MicrosoftExcel
20, ProjectManagement,18, MicrosoftExcel,15, MicrosoftPowerPoint,16, MicrosoftPowerPoint,11, MicrosoftExcel,8 ,SocialMediaMarketing,7 ,(SaaS),5 ,ProjectManagement
20, SQL,18, ProgramManagement,15, MicrosoftOffice,15, SocialMedia,11, ProjectManagement,8 ,MicrosoftOffice,6 ,AgileMethodologies,5 ,MicrosoftWord
19, (CSS),17, Marketing,14, MicrosoftExcel,14, Management,11, MicrosoftOffice,7 ,Leadership,6 ,CustomerRelationship Management (CRM),5 ,EventPlanning
19, SoftwareDevelopment,15, MicrosoftPowerPoint,13, ProjectManagement,13, PublicSpeaking,11, CustomerService,7 ,MicrosoftPowerPoint,6 ,BusinessStrategy,4 ,Management
15, MicrosoftOffice,15, CustomerService,13, MicrosoftWord,13, Marketing,9 ,DataAnalysis,6 ,MicrosoftWord,5 ,Start-ups,4 ,TimeManagement
13, HTML,14, SocialMedia,10, DataAnalysis,12, ProjectManagement,8 ,SocialMediaMarketing,6 ,MarketingStrategy,5 ,StrategicPlanning,4 ,Sales
13, ProductManagement,14, ProductManagement,9 ,EventPlanning,10, EventPlanning,8 ,Marketing,6 ,OnlineMarketing,5 ,SocialMedia,3 ,AdobePhotoshop
12, RequirementsAnalysis,12, Scrum,8 ,CustomerRelationshipManagement(CRM),9 ,SocialMediaMarketing,8 ,MicrosoftPowerPoint,6 ,Teamwork,5 ,CustomerService,3 ,Training
12, CustomerService,10, SoftwareProjectManagement,8 ,Training,9 ,Teamwork,8 ,EventPlanning,6 ,CustomerService,4 ,BusinessDevelopment,3 ,SocialMedia
11, MySQL,10, SQL,8 ,SQL,8 ,Sales,7 ,Sales,5 ,Analytics,4 ,Sales,3 ,Teamwork
10, WebDevelopment,9 ,AgileProjectManagement,8 ,Sales,8 ,Advertising,7 ,Teamwork,5 ,Facebook,4 ,Salesforce.com,2 ,DataAnalysis
